ImageID,Time_C,Time_ASM
0,0.065453,0.002270
1,0.038751,0.002286
2,0.034894,0.002267
3,0.033822,0.002348
4,0.034337,0.002328
5,0.032546,0.003639
6,0.032602,0.003711
7,0.032292,0.003092
8,0.032220,0.003611
9,0.032832,0.008366
10,0.032655,0.004778
11,0.032543,0.002754
12,0.032074,0.002225
13,0.034313,0.002217
14,0.034418,0.002368
15,0.034365,0.002226
16,0.032475,0.002252
17,0.033253,0.002250
18,0.032372,0.002194
19,0.031353,0.002245
20,0.033727,0.002240
21,0.032511,0.002225
22,0.032032,0.002242
23,0.031293,0.002247
24,0.032119,0.002211
25,0.032825,0.002320
26,0.034122,0.002232
27,0.034345,0.002215
28,0.032934,0.002259
29,0.033183,0.002248
30,0.032041,0.002221
31,0.032400,0.002428
32,0.032228,0.002209
33,0.031766,0.002227
34,0.031660,0.002245
35,0.032605,0.002231
36,0.032219,0.002277
37,0.034001,0.002209
38,0.032964,0.002250
39,0.033076,0.002284
40,0.032064,0.002222
41,0.031270,0.002206
42,0.033174,0.002258
43,0.032911,0.002214
44,0.031192,0.002188
45,0.032001,0.002238
46,0.032627,0.002235
47,0.031203,0.002201
48,0.031934,0.002267
49,0.032608,0.002209
50,0.031330,0.002268
51,0.031590,0.002227
52,0.032035,0.002198
53,0.032560,0.002270
54,0.033809,0.002229
55,0.034288,0.002217
56,0.033911,0.002285
57,0.032787,0.002205
58,0.032057,0.002190
59,0.032406,0.002277
60,0.033966,0.002279
61,0.033095,0.002278
62,0.031734,0.002306
63,0.033134,0.002264
64,0.032752,0.002289
65,0.031870,0.002239
66,0.032396,0.002230
67,0.032781,0.002226
68,0.032965,0.002201
69,0.032953,0.002208
70,0.033818,0.002213
71,0.033834,0.002184
72,0.032113,0.002219
73,0.031460,0.002172
74,0.032501,0.002238
75,0.032044,0.002165
76,0.033451,0.002175
77,0.032113,0.002157
78,0.032700,0.002166
79,0.032666,0.002168
80,0.031021,0.002178
81,0.032888,0.002201
82,0.032439,0.002164
83,0.030937,0.002178
84,0.031908,0.002169
85,0.032693,0.002161
86,0.032994,0.002178
87,0.034444,0.002168
88,0.034441,0.002184
89,0.034439,0.002233
90,0.034515,0.002262
91,0.034493,0.002264
92,0.034402,0.002259
93,0.034596,0.002317
94,0.034497,0.002288
95,0.034520,0.002247
96,0.038360,0.004140
97,0.034477,0.002520
98,0.034448,0.002208
99,0.033750,0.002231
